"Sta","Latitude","Longitude","Elevation","Dist","EvAz","Phase","Time","TRes"
CAL,22.53917,88.33067,6.0,4.61,159.5,Pn,08:44:18.0,-16.7
AGR,27.13330,78.01670,163.0,7.65,273.8,Pn,08:45:10.0,-6.5
AGR,27.13330,78.01670,163.0,7.65,273.8,Pb,08:46:10.0,32.0
DDI,30.32250,78.05560,682.0,8.24,296.5,Pn,08:45:10.0,-14.8
BOM,18.89583,72.81267,6.0,14.97,240.8,Pn,08:46:46.0,-10.7
BOM,18.89583,72.81267,6.0,14.97,240.8,Sn,08:49:38.0,-4.3
AAA,43.20900,76.91500,920.0,18.13,336.9,P,08:47:40.0,2.8
AAA,43.20900,76.91500,920.0,18.13,336.9,Sn,08:50:36.0,-23.0
FRU,42.83330,74.61670,655.0,18.67,331.5,P,08:47:43.0,-0.0
FRU,42.83330,74.61670,655.0,18.67,331.5,Sn,08:51:07.0,-4.9
KOD,10.23330,77.46670,2345.0,18.67,209.2,P,08:47:36.0,-7.5
KOD,10.23330,77.46670,2345.0,18.67,209.2,S,08:51:32.0,15.8
PLV,20.80600,106.62900,90.0,19.29,104.0,P,08:47:47,-3.0
PLV,20.80600,106.62900,90.0,19.29,104.0,m1,08:49:48,___
PLV,20.80600,106.62900,90.0,19.29,104.0,Sn,08:51:29,1.7
PLV,20.80600,106.62900,90.0,19.29,104.0,P,08:47:47.0,-3.0
PLV,20.80600,106.62900,90.0,19.29,104.0,Sn,08:51:29.0,1.7
TAS,41.32500,69.29500,470.0,20.26,319.7,P,08:47:55.0,-5.4
CHM,42.31900,69.60300,512.0,20.74,322.3,Pn,08:48:16.0,8.0
COC,6.90000,79.86670,7.0,20.88,199.0,P,08:48:05.0,-2.3
COC,6.90000,79.86670,7.0,20.88,199.0,S,08:52:00.0,0.2
HKC,22.30200,114.17430,27.0,25.47,94.3,P,08:48:45.0,-8.2
HKC,22.30200,114.17430,27.0,25.47,94.3,S,08:53:16.0,-4.0
MED,3.55000,98.68333,32.0,25.93,151.4,P,08:49:02.0,4.6
PEK,40.04030,116.17500,43.0,27.81,54.3,P,08:49:11.0,-3.2
PEK,40.04030,116.17500,43.0,27.81,54.3,S,08:53:58.0,1.4
NAN,32.06330,118.78300,10.0,28.44,71.8,P,08:49:15.0,-4.8
NAN,32.06330,118.78300,10.0,28.44,71.8,S,08:54:01.0,-5.6
TAI,22.99520,120.19700,14.0,30.67,89.8,P,08:49:49.0,9.3
TAI,22.99520,120.19700,14.0,30.67,89.8,S,08:55:37.0,55.2
ZKW,31.18330,121.43300,7.0,30.69,73.6,S,08:55:40,58.0
ZKW,31.18330,121.43300,7.0,30.69,73.6,W3,12:25:40,___
ZKW,31.18330,121.43300,7.0,30.69,73.6,P,08:49:36.0,-3.8
ZKW,31.18330,121.43300,7.0,30.69,73.6,S,08:55:40.0,58.0
TCU,24.14750,120.67600,84.0,30.83,87.4,P,08:50:14.0,32.9
TCU,24.14750,120.67600,84.0,30.83,87.4,S,08:55:07.0,22.6
KAU,22.56790,120.30800,2.0,30.87,90.6,P,08:49:56.0,14.5
KAU,22.56790,120.30800,2.0,30.87,90.6,S,08:55:36.0,50.9
ALS,23.51040,120.80500,2413.0,31.09,88.6,P,08:49:53.0,9.2
ALS,23.51040,120.80500,2413.0,31.09,88.6,S,08:55:12.0,22.9
TAP,25.03930,121.50600,6.0,31.39,85.4,P,08:49:48.0,1.9
TAP,25.03930,121.50600,6.0,31.39,85.4,S,08:55:01.0,7.9
HEN,22.00547,120.73806,22.1,31.41,91.4,P,08:48:59.0,-47.2
HEN,22.00547,120.73806,22.1,31.41,91.4,S,08:54:55.0,1.6
TTN,22.75400,121.14700,9.0,31.58,89.8,P,08:49:54.0,6.3
TTN,22.75400,121.14700,9.0,31.58,89.8,S,08:55:15.0,18.9
DAI,38.90000,121.63300,97.0,31.59,58.8,P,08:49:43.0,-4.6
DAI,38.90000,121.63300,97.0,31.59,58.8,S,08:54:58.0,2.1
HWA,23.97700,121.60500,16.0,31.70,87.4,P,08:50:00.0,11.2
HWA,23.97700,121.60500,16.0,31.70,87.4,S,08:55:15.0,17.1
BAK,40.37200,49.81800,83.0,33.20,303.4,P,08:50:04.0,2.3
ISI,24.33167,124.16333,6.0,33.90,85.8,P,08:50:10.0,1.9
ISI,24.33167,124.16333,6.0,33.90,85.8,S,08:55:53.0,20.8
MAN,14.66000,121.07800,70.0,34.35,103.8,P,08:50:08.0,-4.0
