Date,Time,Err,RMS,Latitude,Longitude,Smaj,Smin,Az,Depth,Err,Ndef,Nsta,Gap,mdist,Mdist,Qual,Author,OrigID
1950/08/15,14:09:30,,,28.5000,96.5000,,,,35.0,,,,,,,uk,GUTE,1935171
1950/08/15,14:09:30,,,28.6000,96.5000,,,,,,,,,,,uk,BCIS,1935172
1950/08/15,14:09:30,,,28.5000,97.0000,,,,,,,,,,,uk,CGS,1935173
1950/08/15,14:09:30,,,28.7000,96.6000,,,,,,,,,,,uk,ISS,1935174
1950/08/15,14:09:30,,,28.5000,97.0000,,,,,,,,,,,uk,PDE,1935175
1950/08/15,14:09:32,,,28.8000,96.6000,,,,,,,,,,,uk,POO,1935176
1950/08/15,14:09:33,,,28.2000,97.2000,,,,,,,,,,,uk,JSA,1935177
1950/08/15,14:09:36.11,,,28.2900,96.6570,,,,35.0,,,,,,,,CENT,602320200
1950/08/15,14:09:34.65,0.27,3.708,28.3633,96.4454,6.90,5.079,9,15.0f,,386,239,57,9.35,167.31,m i ke,ISC,605953232
1950/08/15,14:09:31.4,,,28.2495,96.6756,,,,0.195638,,,,,,,,NLL,
