Date,Time,Latitude,Longitude,Depth,Author
1991/10/19,21:23:14.30,30.78,78.774,10.3,NEIC
1991/10/19,21:23:14.30,30.78,78.774,19.0,NEIC
1991/10/19,21:23:15,30.78,78.774,10.0,COSMOS
1991/10/19,21:23:15.30,30.81,78.9,16.0,BJI
1991/10/19,21:23:15.52,30.731,78.781,8.1,CENT
1991/10/19,21:23:15.80,30.737,78.778,10.4,ISC-EHB
1991/10/19,21:23:15.82,30.722,78.774,10.0,EUROP
1991/10/19,21:23:15.83,30.725,78.778,10.0,EHB
1991/10/19,21:23:16.50,30.75,78.86,12.0,NDI
1991/10/19,21:23:17.40,30.81,78.85,33.0,MOS
1991/10/19,21:23:21.50,30.22,78.24,15.0,GCMT
1991/10/19,21:23:21.725777,30.8423,78.9301,45.9749,NLLoc
