Date,Time,Err,RMS,Latitude,Longitude,Smaj,Smin,Az,Depth,Err,Ndef,Nsta,Gap,mdist,Mdist,Qual,Author,OrigID
2005/10/08,03:50:36.40,,,34.4700,73.5000,,,,10.0,,,,,,,,CSEM,6823869
2005/10/08,03:50:36.40,,0.600,34.4900,73.1450,,,,10.0,,,32,,,,,NDI,7949366
2005/10/08,03:50:36.96,0.31,1.970,34.5279,73.7103,7.3,5.7,9,0.0,,94,,56,13.86,151.17,uk,IDC,7292908
2005/10/08,03:50:38.84,,1.060,34.4850,73.6170,2.4,1.6,21,15.7,,1429,999,,,,ke,EHB,11247037
2005/10/08,03:50:38.90,0.98,,34.6260,73.6270,6.0,3.4,122,22.0,,170,,,,,,MOS,8766118
2005/10/08,03:50:39.29,,,34.4600,73.5800,,,,19.1,,,,,,,,CENT,602331486
2005/10/08,03:50:39.30,,1.600,34.4200,73.6600,,,,26.0,,,83,,,,,BJI,7128209
2005/10/08,03:50:40.55,6.54,7.550,34.3874,72.9014,48.2,29.4,47,60.2,81.6,16,,210,8.34,19.37,uk,NNC,7118034
2005/10/08,03:50:40.80,0.11,0.900,34.5390,73.5880,3.4,2.0,191,26.0,,724,,21,8.88,152.08,de,NEIC,7881142
2005/10/08,03:50:38.073620,,,34.5337,73.747,,,,0.195638,,,,,,,,NLL,
