Date,Time,Latitude,Longitude,Depth,Author
2005/10/08,03:50:36.40,34.47,73.5,10.0,CSEM
2005/10/08,03:50:36.40,34.49,73.145,10.0f,NDI
2005/10/08,03:50:36.96,34.5279,73.7103,0.0f,IDC
2005/10/08,03:50:38.61,34.484,73.605,15.0f,ISC-EHB
2005/10/08,03:50:38.84,34.485,73.617,15.7,EHB
2005/10/08,03:50:38.90,34.626,73.627,22.0,MOS
2005/10/08,03:50:39.29,34.46,73.58,19.1,CENT
2005/10/08,03:50:39.30,34.42,73.66,26.0,BJI
2005/10/08,03:50:40.55,34.3874,72.9014,60.2,NNC
2005/10/08,03:50:40.80,34.539,73.588,26.0f,NEIC
2005/10/08,03:50:38.073620,34.5337,73.747,0.195638,NLL
