Date,Time,Err,RMS,Latitude,Longitude,Smaj,Smin,Az,Depth,Err,Ndef,Nsta,Gap,mdist,Mdist,Qual,Author,OrigID
2011/09/18,12:40:45.70,,1.420,27.7000,88.2000,,,,20.0,,99,,197,3.30,38.70,uk,BJI,600139738
2011/09/18,12:40:46.90,2.10,0.700,27.8500,88.0600,3.4,2.2,-1,45.9,4.8,,63,130,,,,NDI,601601017
2011/09/18,12:40:48.00,0.00,,27.5300,87.9700,0.0,0.0,,60.0,0.0,,,,,,se,NEIC,602852323
2011/09/18,12:40:48.90,1.17,,27.7710,88.2060,5.6,3.2,124,40.0,,264,,,,,,MOS,601815306
2011/09/18,12:40:50.43,,1.170,27.7630,88.1410,24.0,14.0,30,35.0,,1616,999,,,,m i ke,ISC-EHB,608965459
2011/09/18,12:40:50.51,1.10,1.000,27.7707,88.2212,7.5,5.9,38,37.0,8.4,87,,24,13.53,158.97,uk,IDC,16966892
2011/09/18,12:40:51.10,0.26,0.230,27.6897,88.2959,6.8,3.7,37,50.0,,21,18,308,0.62,4.72,ke,DMN,603385384
2011/09/18,12:40:51.50,1.90,0.800,27.8600,88.5900,,,,15.0,12.0,,,334,,,,BKK,600800204
2011/09/18,12:40:51.80,0.10,,27.4400,88.3500,0.0,0.0,-1,46.0,0.3,1019,151,,,,,GCMT,600508025
2011/09/18,12:40:51.83,0.09,0.960,27.7300,88.1550,3.1,2.3,27,50.0,,383,,13,0.55,161.53,de,NEIC,602852321
2011/09/18,12:40:51.7198,,,27.7368,88.1057,,,,50.6702,,,,,,,,NLL,
