,0,1,2,3
0,KMI,102.74,25.1233,-1.94
1,CD2,103.7578,30.91,-0.628
2,GTA,99.8144,39.4106,-1.341
3,KSH,75.9731,39.5167,-1.314
4,LZH,103.8444,36.0867,-1.56
5,WMQ,87.695,43.8211,-0.897
6,AAA,76.9467,43.2717,-0.8
7,TKM2,75.5966,42.9208,-2.02
8,XAN,108.9214,34.0394,-0.63
9,ENH,109.4868,30.2718,-0.487
10,MAKZ,81.977,46.808,-0.57
11,PALK,80.7022,7.2728,-0.46
12,QIZ,109.8433,19.0294,-0.23
13,BTO,110.0208,40.6056,-1.114
14,TRD,76.9585,8.508,-0.064
15,TIY,112.4342,37.7131,-0.85
16,WHN,114.3503,30.5436,-0.026
17,GZH,113.3439,23.0869,-0.011
18,HHC,111.5636,40.8494,-1.169
19,SEM,80.25,50.4083,-0.209
20,MCO,113.5583,22.1219,-0.174
21,KURK,78.6202,50.7154,-0.184
22,HKC,114.1719,22.3036,-0.027
23,SONM,106.4167,47.8083,0.0
24,DLV,108.4867,11.9433,-1.575
25,ULN,107.0528,47.8652,-1.615
26,ZAK,103.2806,50.3819,-1.2
27,TIA,117.1244,36.2114,-0.3
28,MOY,100.9931,51.6667,-1.303
29,IPM,101.0255,4.5795,-0.246
30,TSI,98.5645,3.5008,0.0
31,BJI,116.175,40.0403,-0.043
32,BJT,116.1679,40.0183,-0.197
33,ZALV,84.8,53.9,0.0
34,ZAA0,0.0,0.0,0.0
35,KTGM,103.1356,5.3283,-0.033
36,TLY,103.6438,51.6807,-0.579
37,PSI,98.924,2.695,-0.987
38,NJ2,118.8544,32.0517,-0.045
39,WSAR,0.0,0.0,0.0
40,NVS,83.2346,54.8404,-0.15
41,QZH,118.5917,24.9431,-0.021
42,IRK,104.2711,52.2431,-0.467
43,FRIM,101.6336,3.2328,-0.097
44,BRVK,70.2828,53.0581,-0.315
45,CHTO,98.9438,18.8138,-0.316
46,SSE,121.1867,31.0956,-0.015
47,KGM,103.319,2.0157,-0.103
48,TPUB,120.63,23.3,0.0
49,SSLB,120.95,23.79,0.0
50,TATO,121.4881,24.9754,-0.053
51,DL2,121.6283,38.9061,-0.062
52,TWG,121.0717,22.8207,-0.195
53,PPI,100.397,-0.4568,0.0
54,NACB,121.59,24.18,0.0
55,CIT,113.5519,52.0211,-0.79
56,BOLP,119.913,16.381,-0.071
57,SZP,120.456,17.551,-0.05
58,ABRA,120.712,17.649,-0.05
59,SCZP,119.911,15.776,-0.021
60,SNY,123.5781,41.8278,-0.054
61,YOJ,123.0108,24.4617,-0.032
62,HIA,119.7417,49.2667,-0.61
63,SGCP,122.046,18.242,-0.05
64,LUBP,120.246,13.734,-0.05
65,CVP,121.822,17.703,-0.06
66,CAUP,121.823,16.944,-0.05
67,PCPH,121.096,15.562,-0.007
68,TGY,120.9367,14.1022,-0.6
69,PGP,120.9528,13.502,-0.375
70,INCN,126.633,37.483,-0.42
71,ENPP,119.425,11.206,-0.027
72,KSM,110.3083,1.4733,-0.066
73,BATP,117.801,8.797,-0.054
74,CN2,125.4483,43.8014,-0.23
75,BUSP,120.199,12.003,-0.066
76,KSI,102.5923,-3.6338,0.0
77,PPR,118.7308,9.7764,-0.014
78,SBUM,111.9833,2.25,-0.0309
79,LQP,121.539,14.112,-1.65
80,KDM,116.833,6.916,-0.0036
81,BTM,113.0833,3.2,-0.156
82,KKM,116.2147,6.0443,-0.83
83,KSRS,127.923,37.454,0.0
84,KSAR,127.8844,37.4421,-0.109
